"Part";"Value";"Device";"Package";"Description";"";
"ATTACK";"B1K";"16MM.3";"16MM_C.MOUNT";"16mm Poteniometers";"";
"C1";"10nF";"CAP.2";"0.2".SML";"For Ceramic, Film, MLCC caps";"";
"C2";"4u7";"5MM.1";"0501";"5mm diameter caps";"";
"C3";"100nF";"CAP.2";"0.2".SML";"For Ceramic, Film, MLCC caps";"";
"C4";"10nF";"CAP.2";"0.2".SML";"For Ceramic, Film, MLCC caps";"";
"C5";"4u7";"5MM.1";"0501";"5mm diameter caps";"";
"C6";"10uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C7";"100uF";"CPOL-EUE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, European symbol";"";
"C8";"10uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"D1";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";
"D2";"1N4001";"DO41.3";"DO41-3";"1N400x, 1N5817";"";
"G";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"IC1";"ICL7660CPA";"ICL7660CPA";"DIL08";"VOLTAGE CONVERTER";"";
"J1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"J2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"Q1";"GT308";"GT308";"TO-5";"";"";
"Q2";"GT308";"GT308";"TO-5";"";"";
"Q2BIAS";"100K";"TRIMMER";"TRIM1";"Trimpots";"";
"Q3";"GT308";"GT308";"TO-5";"";"";
"Q3BIAS";"10K";"TRIMMER";"TRIM1";"Trimpots";"";
"R1";"100K";"RESISTORS.3B";"0.3".B";"1/8W, 1/4W and 1W resistors";"";
"R2";"10K";"RESISTORS.3B";"0.3".B";"1/8W, 1/4W and 1W resistors";"";
"R3";"470R";"RESISTORS.3B";"0.3".B";"1/8W, 1/4W and 1W resistors";"";
"R4";"100K";"RESISTORS.3B";"0.3".B";"1/8W, 1/4W and 1W resistors";"";
"TP1";"TPSPAD1-13";"TPSPAD1-13";"P1-13";"TEST PIN";"";
"TP2";"TPSPAD1-13";"TPSPAD1-13";"P1-13";"TEST PIN";"";
"U$1";"IO_V2";"IO_V2";"IO_LARGER";"";"";
"VOL";"A100K";"16MM.3";"16MM_C.MOUNT";"16mm Poteniometers";"";
